id;name;material;description;price;product_size;image;image_content_type
1;Steel;Assistant;cross-platform Principal;35091;L;../fake-data/blob/hipster.png;image/png
2;Chilean reboot Dynamic;Track actuating deposit;Soap withdrawal;40879;XXL;../fake-data/blob/hipster.png;image/png
3;partnerships Infrastructure;transmitting New Bedfordshire;Malagasy intranet;16516;M;../fake-data/blob/hipster.png;image/png
4;Small digital Oklahoma;orange Practical;Identity Dynamic Sports;86396;XL;../fake-data/blob/hipster.png;image/png
5;Implementation Awesome;homogeneous Crossroad;Chips De-engineered Tunnel;5902;S;../fake-data/blob/hipster.png;image/png
6;tangible;Cheese Renminbi;Consultant online;80952;M;../fake-data/blob/hipster.png;image/png
7;Stand-alone Fantastic Sleek;AGP lavender;navigate brand up;56289;L;../fake-data/blob/hipster.png;image/png
8;Ergonomic Ergonomic;Handcrafted;relationships;78668;S;../fake-data/blob/hipster.png;image/png
9;National;Zimbabwe Games Balboa;transmit Incredible IB;52857;XL;../fake-data/blob/hipster.png;image/png
10;Executive;magenta;National;85001;S;../fake-data/blob/hipster.png;image/png
